X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	9.03572e-06	4.23072e-06	8.71287e-06
-19	0	-1800	7.50332e-06	4.20643e-06	7.30864e-06
-18	0	-1800	8.13779e-06	4.15943e-06	7.04539e-06
-17	0	-1800	8.73332e-06	3.34607e-06	7.23163e-06
-16	0	-1800	8.81393e-06	4.33476e-06	7.11344e-06
-15	0	-1800	9.61293e-06	4.40493e-06	6.42486e-06
-14	0	-1800	7.87809e-06	4.42952e-06	6.6566e-06
-13	0	-1800	8.38796e-06	3.14069e-06	6.03284e-06
-12	0	-1800	8.89629e-06	3.82561e-06	7.77813e-06
-11	0	-1800	9.40599e-06	3.99989e-06	6.74003e-06
-10	0	-1800	8.45757e-06	4.39938e-06	6.40657e-06
-9	0	-1800	6.17108e-06	4.48016e-06	6.65827e-06
-8	0	-1800	7.11875e-06	4.31042e-06	6.87496e-06
-7	0	-1800	7.40387e-06	4.27012e-06	6.22652e-06
-6	0	-1800	6.6346e-06	4.37494e-06	5.74215e-06
-5	0	-1800	7.2113e-06	4.57963e-06	6.21849e-06
-4	0	-1800	7.48676e-06	4.586e-06	6.42008e-06
-3	0	-1800	6.90002e-06	3.87765e-06	6.05504e-06
-2	0	-1800	7.16879e-06	3.43336e-06	6.82799e-06
-1	0	-1800	6.14568e-06	3.66135e-06	6.01661e-06
0	0	-1800	6.40102e-06	3.44365e-06	6.48948e-06
1	0	-1800	6.63424e-06	3.32154e-06	6.2319e-06
2	0	-1800	7.39839e-06	3.88246e-06	6.29284e-06
3	0	-1800	7.91001e-06	3.76692e-06	6.80332e-06
4	0	-1800	8.44973e-06	4.05999e-06	7.25868e-06
5	0	-1800	5.47449e-06	4.04733e-06	6.09868e-06
6	0	-1800	6.78476e-06	2.9584e-06	6.22154e-06
7	0	-1800	6.34586e-06	4.05965e-06	6.73534e-06
8	0	-1800	6.98412e-06	4.17569e-06	6.29013e-06
9	0	-1800	7.76315e-06	3.05858e-06	7.46513e-06
10	0	-1800	5.43251e-06	3.32007e-06	5.43408e-06
11	0	-1800	6.77366e-06	3.07046e-06	6.96103e-06
12	0	-1800	7.78656e-06	4.11249e-06	6.20614e-06
13	0	-1800	6.89549e-06	3.32105e-06	5.92434e-06
14	0	-1800	6.65893e-06	3.25693e-06	6.52743e-06
15	0	-1800	7.50327e-06	4.80282e-06	6.31642e-06
16	0	-1800	6.25735e-06	3.81331e-06	5.47036e-06
17	0	-1800	5.86434e-06	3.65451e-06	5.8792e-06
18	0	-1800	6.48921e-06	2.71274e-06	5.99266e-06
19	0	-1800	6.89579e-06	4.52194e-06	6.60427e-06
20	0	-1800	7.46758e-06	3.65057e-06	6.68402e-06
-20	0	-1798	8.62795e-06	3.96012e-06	8.32768e-06
-19	0	-1798	8.09115e-06	4.08895e-06	7.25312e-06
-18	0	-1798	8.49856e-06	4.24137e-06	7.27857e-06
-17	0	-1798	8.63075e-06	3.22919e-06	6.81375e-06
-16	0	-1798	9.05505e-06	3.95408e-06	7.13868e-06
-15	0	-1798	9.55517e-06	4.68174e-06	6.67234e-06
-14	0	-1798	7.77427e-06	4.49851e-06	6.27046e-06
-13	0	-1798	8.55523e-06	3.8143e-06	6.34588e-06
-12	0	-1798	9.17116e-06	4.03013e-06	7.92352e-06
-11	0	-1798	8.31582e-06	3.80763e-06	6.68497e-06
-10	0	-1798	8.50825e-06	4.46985e-06	6.75339e-06
-9	0	-1798	6.25599e-06	3.79571e-06	6.57802e-06
-8	0	-1798	6.74122e-06	3.90139e-06	6.91279e-06
-7	0	-1798	7.27062e-06	4.45748e-06	6.13315e-06
-6	0	-1798	6.51262e-06	4.07587e-06	6.60572e-06
-5	0	-1798	7.38099e-06	4.01205e-06	6.54477e-06
-4	0	-1798	6.95452e-06	4.00603e-06	6.42567e-06
-3	0	-1798	6.46917e-06	3.97126e-06	5.91325e-06
-2	0	-1798	7.19102e-06	3.78497e-06	6.95241e-06
-1	0	-1798	6.19267e-06	4.31148e-06	6.1498e-06
0	0	-1798	6.85631e-06	3.88939e-06	6.70878e-06
1	0	-1798	6.82488e-06	3.92531e-06	6.35911e-06
2	0	-1798	7.47802e-06	3.94764e-06	6.78746e-06
3	0	-1798	7.80727e-06	3.63196e-06	6.56363e-06
4	0	-1798	7.96652e-06	4.62171e-06	6.81978e-06
5	0	-1798	5.899e-06	4.55717e-06	6.36122e-06
6	0	-1798	7.00388e-06	3.22292e-06	7.57669e-06
7	0	-1798	6.8443e-06	3.49677e-06	6.85257e-06
