X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	-8.17944e-07	7.87772e-06	-1.90713e-06
-19	0	-1800	-1.49798e-06	6.57844e-06	-2.26835e-06
-18	0	-1800	-3.56872e-07	7.47317e-06	-1.92429e-06
-17	0	-1800	-1.96015e-06	7.09354e-06	-2.19643e-06
-16	0	-1800	-6.07807e-07	6.70029e-06	-2.52219e-06
-15	0	-1800	-1.20038e-06	6.99864e-06	-2.27498e-06
-14	0	-1800	-2.14945e-06	7.65493e-06	-2.54071e-06
-13	0	-1800	-1.73489e-06	7.64917e-06	-2.32617e-06
-12	0	-1800	-1.11458e-06	6.43848e-06	-2.00356e-06
-11	0	-1800	-2.39156e-06	6.74159e-06	-2.48093e-06
-10	0	-1800	-1.64111e-06	6.89952e-06	-3.175e-06
-9	0	-1800	-6.5361e-07	6.54793e-06	-2.12682e-06
-8	0	-1800	-1.65489e-06	6.5538e-06	-2.5371e-06
-7	0	-1800	-2.51881e-06	6.56596e-06	-2.6908e-06
-6	0	-1800	-1.5032e-06	5.99728e-06	-2.32948e-06
-5	0	-1800	-1.67745e-06	6.26142e-06	-2.45184e-06
-4	0	-1800	-1.34403e-06	7.27324e-06	-2.06442e-06
-3	0	-1800	-1.49907e-06	6.13322e-06	-1.22127e-06
-2	0	-1800	-1.24643e-06	6.94639e-06	-1.97284e-06
-1	0	-1800	-8.46858e-07	6.22776e-06	-1.26836e-06
0	0	-1800	-1.04503e-06	6.39147e-06	-1.02824e-06
1	0	-1800	-2.02128e-07	6.29196e-06	-1.67133e-06
2	0	-1800	-7.28595e-07	6.22139e-06	-1.66101e-06
3	0	-1800	-1.46974e-06	7.15215e-06	-2.03019e-06
4	0	-1800	-1.02311e-06	6.50772e-06	-1.59193e-06
5	0	-1800	-1.39132e-06	6.72945e-06	-2.31997e-06
6	0	-1800	-1.50187e-06	5.90455e-06	-2.03359e-06
7	0	-1800	-1.8619e-06	5.76318e-06	-2.4214e-06
8	0	-1800	-1.66216e-06	5.86327e-06	-3.25892e-06
9	0	-1800	-2.32858e-06	6.00395e-06	-2.1334e-06
10	0	-1800	-1.11235e-06	6.32056e-06	-1.61875e-06
11	0	-1800	-1.10061e-06	6.97663e-06	-1.3531e-06
12	0	-1800	-1.97405e-06	5.80394e-06	-1.96369e-06
13	0	-1800	-1.60755e-06	6.72343e-06	-2.55869e-06
14	0	-1800	-1.53077e-06	6.65947e-06	-2.62436e-06
15	0	-1800	-9.54066e-07	5.9746e-06	-1.14666e-06
16	0	-1800	-4.05623e-07	6.55345e-06	-1.12593e-06
17	0	-1800	-6.85402e-08	5.65888e-06	-1.5553e-06
18	0	-1800	-1.06861e-06	5.38845e-06	-1.93374e-06
19	0	-1800	-1.68474e-06	6.68294e-06	-2.15423e-06
20	0	-1800	-1.60767e-07	6.69482e-06	-1.48828e-06
-20	0	-1798	-1.67495e-06	7.56087e-06	-2.25663e-06
-19	0	-1798	-1.76073e-06	6.4907e-06	-1.86476e-06
-18	0	-1798	-1.16362e-06	7.05834e-06	-1.77443e-06
-17	0	-1798	-1.95298e-06	7.22783e-06	-1.78909e-06
-16	0	-1798	-4.86298e-07	6.44222e-06	-2.66377e-06
-15	0	-1798	-1.16439e-06	6.5837e-06	-2.66218e-06
-14	0	-1798	-2.15079e-06	7.06859e-06	-3.13732e-06
-13	0	-1798	-2.00064e-06	7.35642e-06	-2.79484e-06
-12	0	-1798	-1.2524e-06	6.3368e-06	-2.12344e-06
-11	0	-1798	-2.16356e-06	6.90531e-06	-2.22889e-06
-10	0	-1798	-1.4996e-06	6.96947e-06	-2.34648e-06
-9	0	-1798	-9.64464e-07	6.0442e-06	-2.04987e-06
-8	0	-1798	-1.72206e-06	6.92942e-06	-2.62691e-06
-7	0	-1798	-2.49968e-06	6.31379e-06	-2.59888e-06
-6	0	-1798	-1.75142e-06	5.71099e-06	-1.81478e-06
-5	0	-1798	-1.31032e-06	5.91038e-06	-2.34927e-06
-4	0	-1798	-1.60702e-06	6.64712e-06	-2.33371e-06
-3	0	-1798	-1.87513e-06	6.08044e-06	-6.44208e-07
-2	0	-1798	-1.24428e-06	6.79995e-06	-1.55063e-06
-1	0	-1798	-8.77612e-07	6.5837e-06	-1.20214e-06
0	0	-1798	-8.01107e-07	6.85973e-06	-1.42735e-06
1	0	-1798	-9.90964e-07	7.11258e-06	-2.08991e-06
2	0	-1798	-1.13267e-06	6.31937e-06	-2.18352e-06
3	0	-1798	-1.6409e-06	6.75298e-06	-1.63556e-06
