X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	6.68486e-06	6.13618e-06	4.61474e-06
-19	0	-1800	7.29605e-06	5.91461e-06	3.87423e-06
-18	0	-1800	6.19714e-06	5.83241e-06	3.47482e-06
-17	0	-1800	6.44126e-06	5.29964e-06	4.22786e-06
-16	0	-1800	6.80201e-06	4.77793e-06	4.40669e-06
-15	0	-1800	6.95457e-06	5.29444e-06	4.18058e-06
-14	0	-1800	6.54174e-06	5.62787e-06	4.36345e-06
-13	0	-1800	6.60535e-06	5.00739e-06	3.36214e-06
-12	0	-1800	6.38852e-06	5.79686e-06	3.18352e-06
-11	0	-1800	7.3667e-06	6.3783e-06	4.36714e-06
-10	0	-1800	7.65906e-06	6.13225e-06	3.93517e-06
-9	0	-1800	6.68458e-06	5.37102e-06	3.6699e-06
-8	0	-1800	6.57479e-06	5.88418e-06	3.6235e-06
-7	0	-1800	5.69545e-06	5.52761e-06	3.62434e-06
-6	0	-1800	7.20312e-06	6.70568e-06	4.19861e-06
-5	0	-1800	6.91204e-06	5.70427e-06	4.21015e-06
-4	0	-1800	5.14671e-06	6.38795e-06	3.31411e-06
-3	0	-1800	6.23414e-06	5.42893e-06	3.51087e-06
-2	0	-1800	5.29763e-06	4.749e-06	3.81683e-06
-1	0	-1800	4.93978e-06	5.60922e-06	3.45974e-06
0	0	-1800	5.13937e-06	6.10759e-06	3.18683e-06
1	0	-1800	4.76648e-06	4.83728e-06	3.11601e-06
2	0	-1800	4.9226e-06	4.78954e-06	2.96094e-06
3	0	-1800	5.13812e-06	4.84806e-06	3.02641e-06
4	0	-1800	5.96492e-06	4.6381e-06	2.83428e-06
5	0	-1800	5.85547e-06	6.17192e-06	3.74051e-06
6	0	-1800	5.31338e-06	6.02013e-06	2.56651e-06
7	0	-1800	7.06203e-06	5.6627e-06	2.40679e-06
8	0	-1800	4.65955e-06	5.49096e-06	2.01253e-06
9	0	-1800	4.86023e-06	5.00672e-06	2.51716e-06
10	0	-1800	4.52323e-06	5.3579e-06	2.5763e-06
11	0	-1800	5.7873e-06	5.50366e-06	2.60138e-06
12	0	-1800	5.5871e-06	5.59701e-06	3.58905e-06
13	0	-1800	5.42793e-06	5.14767e-06	2.39493e-06
14	0	-1800	4.94923e-06	3.54294e-06	2.9861e-06
15	0	-1800	4.70657e-06	4.42621e-06	2.59351e-06
16	0	-1800	4.50615e-06	5.26925e-06	2.67626e-06
17	0	-1800	5.56875e-06	4.70758e-06	2.78191e-06
18	0	-1800	4.3258e-06	5.18113e-06	2.18165e-06
19	0	-1800	6.04518e-06	4.49077e-06	3.2846e-06
20	0	-1800	5.71509e-06	4.29799e-06	2.94974e-06
-20	0	-1798	6.67017e-06	5.62208e-06	5.01857e-06
-19	0	-1798	6.9354e-06	5.77474e-06	3.7706e-06
-18	0	-1798	6.53039e-06	5.49266e-06	3.93375e-06
-17	0	-1798	6.36261e-06	5.55198e-06	4.25033e-06
-16	0	-1798	6.79426e-06	4.81965e-06	3.73388e-06
-15	0	-1798	6.57655e-06	5.25271e-06	3.99682e-06
-14	0	-1798	6.38147e-06	6.09678e-06	3.4178e-06
-13	0	-1798	6.01908e-06	4.91305e-06	3.35495e-06
-12	0	-1798	6.35879e-06	5.94443e-06	3.21978e-06
-11	0	-1798	7.12672e-06	6.29568e-06	4.33677e-06
-10	0	-1798	7.07316e-06	6.06161e-06	4.18446e-06
