X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	6.25384e-06	4.59735e-06	4.92766e-06
-19	0	-1800	6.76179e-06	4.51561e-06	4.61772e-06
-18	0	-1800	5.4781e-06	5.4279e-06	4.94994e-06
-17	0	-1800	5.75646e-06	5.10081e-06	3.67922e-06
-16	0	-1800	6.36321e-06	4.39759e-06	3.51588e-06
-15	0	-1800	5.92693e-06	5.03681e-06	4.23148e-06
-14	0	-1800	6.38535e-06	4.89636e-06	4.66418e-06
-13	0	-1800	7.26078e-06	3.90697e-06	4.71772e-06
-12	0	-1800	5.97224e-06	4.86085e-06	3.59868e-06
-11	0	-1800	3.90697e-06	5.60316e-06	2.73444e-06
-10	0	-1800	5.78015e-06	4.83155e-06	3.51537e-06
-9	0	-1800	4.9725e-06	5.68666e-06	4.67457e-06
-8	0	-1800	4.84858e-06	5.15344e-06	4.31128e-06
-7	0	-1800	7.55109e-06	5.05943e-06	4.62431e-06
-6	0	-1800	5.59167e-06	4.80166e-06	4.53187e-06
-5	0	-1800	5.25988e-06	4.79096e-06	5.06142e-06
-4	0	-1800	5.80833e-06	5.71492e-06	4.68678e-06
-3	0	-1800	6.83399e-06	4.89672e-06	4.88337e-06
-2	0	-1800	7.0326e-06	5.13704e-06	5.36923e-06
-1	0	-1800	6.18962e-06	5.59871e-06	4.74418e-06
0	0	-1800	5.54737e-06	5.02505e-06	3.76745e-06
1	0	-1800	5.5909e-06	5.17783e-06	5.7929e-06
2	0	-1800	5.26912e-06	4.78986e-06	4.32429e-06
3	0	-1800	5.89057e-06	5.27606e-06	4.38908e-06
4	0	-1800	5.84268e-06	5.35824e-06	4.50374e-06
5	0	-1800	5.26002e-06	4.85587e-06	5.40011e-06
6	0	-1800	6.48316e-06	4.29419e-06	5.39464e-06
7	0	-1800	5.55167e-06	5.20518e-06	3.62027e-06
8	0	-1800	5.88548e-06	4.72552e-06	4.50185e-06
9	0	-1800	5.19679e-06	4.87787e-06	4.44396e-06
10	0	-1800	6.48013e-06	5.18927e-06	5.29868e-06
11	0	-1800	6.64137e-06	4.99612e-06	4.68913e-06
12	0	-1800	7.01945e-06	5.17713e-06	3.45986e-06
13	0	-1800	5.57306e-06	4.86606e-06	4.24726e-06
14	0	-1800	5.95551e-06	4.96035e-06	3.7961e-06
15	0	-1800	6.59555e-06	5.8973e-06	4.37334e-06
16	0	-1800	7.11032e-06	4.70347e-06	5.13679e-06
17	0	-1800	6.58131e-06	4.2528e-06	5.72594e-06
18	0	-1800	6.09667e-06	5.10695e-06	4.99424e-06
19	0	-1800	6.69791e-06	4.62747e-06	5.23612e-06
20	0	-1800	6.40114e-06	5.26385e-06	5.00157e-06
-20	0	-1798	5.57312e-06	5.11858e-06	4.35076e-06
-19	0	-1798	6.67727e-06	4.70919e-06	4.62523e-06
-18	0	-1798	5.16162e-06	4.91257e-06	4.81847e-06
-17	0	-1798	5.45341e-06	5.31261e-06	4.42518e-06
-16	0	-1798	6.32766e-06	4.66836e-06	3.97776e-06
-15	0	-1798	6.34241e-06	5.05392e-06	4.73291e-06
-14	0	-1798	6.76258e-06	4.8664e-06	4.81331e-06
-13	0	-1798	7.01408e-06	4.63296e-06	4.89314e-06
-12	0	-1798	6.16731e-06	4.95514e-06	4.29043e-06
-11	0	-1798	4.7299e-06	4.97658e-06	4.22063e-06
-10	0	-1798	6.10605e-06	4.91294e-06	3.78375e-06
-9	0	-1798	6.00014e-06	5.67955e-06	4.72741e-06
-8	0	-1798	5.26339e-06	5.31171e-06	4.98582e-06
-7	0	-1798	7.55073e-06	5.65286e-06	4.78191e-06
-6	0	-1798	6.25247e-06	4.63745e-06	4.46302e-06
-5	0	-1798	6.12083e-06	5.29464e-06	4.95475e-06
-4	0	-1798	6.33705e-06	5.51669e-06	5.23253e-06
-3	0	-1798	7.05325e-06	5.33533e-06	4.5198e-06
-2	0	-1798	6.58747e-06	5.54745e-06	5.05282e-06
-1	0	-1798	5.92465e-06	5.61629e-06	4.30415e-06
0	0	-1798	5.55492e-06	4.57368e-06	3.89221e-06
1	0	-1798	5.23435e-06	5.69877e-06	5.42392e-06
2	0	-1798	5.27348e-06	4.8724e-06	4.04469e-06
3	0	-1798	5.41011e-06	5.80336e-06	4.40268e-06
4	0	-1798	6.24291e-06	5.42877e-06	4.25469e-06
5	0	-1798	5.4712e-06	5.29313e-06	4.77514e-06
6	0	-1798	6.52722e-06	4.90841e-06	4.50809e-06
7	0	-1798	5.12122e-06	4.77791e-06	3.36558e-06
8	0	-1798	5.98472e-06	4.35696e-06	4.87169e-06
9	0	-1798	5.62863e-06	5.3247e-06	4.75881e-06
10	0	-1798	6.15773e-06	4.96058e-06	5.16962e-06
11	0	-1798	6.91093e-06	5.12465e-06	4.76171e-06
12	0	-1798	7.05799e-06	5.22977e-06	4.06777e-06
13	0	-1798	6.38985e-06	5.1662e-06	4.67445e-06
14	0	-1798	6.48919e-06	5.2824e-06	4.15173e-06
15	0	-1798	6.43566e-06	5.24758e-06	4.27045e-06
16	0	-1798	7.30575e-06	4.98483e-06	5.02244e-06
17	0	-1798	6.24134e-06	4.16329e-06	4.73106e-06
18	0	-1798	6.39305e-06	4.28676e-06	5.08505e-06
19	0	-1798	7.47501e-06	4.87367e-06	4.9732e-06
20	0	-1798	6.68355e-06	5.08946e-06	4.71374e-06
-20	0	-1796	5.42338e-06	5.2767e-06	4.64013e-06
-19	0	-1796	6.92866e-06	4.94192e-06	4.68145e-06
-18	0	-1796	5.26834e-06	4.99024e-06	4.63053e-06
-17	0	-1796	5.53131e-06	5.15823e-06	4.4059e-06
-16	0	-1796	6.82744e-06	4.15734e-06	4.10722e-06
-15	0	-1796	6.04624e-06	5.22349e-06	4.4999e-06
-14	0	-1796	7.02794e-06	5.35803e-06	4.53287e-06
-13	0	-1796	6.48574e-06	4.90739e-06	5.01508e-06
-12	0	-1796	6.28249e-06	4.73125e-06	4.60295e-06
-11	0	-1796	4.40923e-06	5.30678e-06	4.16869e-06
-10	0	-1796	5.6136e-06	5.10097e-06	4.00689e-06
-9	0	-1796	5.29516e-06	5.89175e-06	4.62304e-06
-8	0	-1796	6.43068e-06	5.56406e-06	4.80867e-06
-7	0	-1796	7.24466e-06	5.17693e-06	4.59511e-06
-6	0	-1796	5.97127e-06	4.98454e-06	5.05287e-06
-5	0	-1796	6.28813e-06	5.21765e-06	4.76895e-06
-4	0	-1796	6.5856e-06	5.74015e-06	4.91837e-06
-3	0	-1796	6.88001e-06	5.59346e-06	4.64904e-06
-2	0	-1796	6.52599e-06	5.66759e-06	5.03625e-06
-1	0	-1796	5.87866e-06	5.13531e-06	4.21441e-06
0	0	-1796	5.75871e-06	4.67262e-06	3.98327e-06
1	0	-1796	5.40686e-06	5.85659e-06	5.10514e-06
2	0	-1796	5.60928e-06	4.56723e-06	3.91011e-06
3	0	-1796	5.08354e-06	5.75688e-06	3.85945e-06
4	0	-1796	6.36334e-06	5.26501e-06	4.29953e-06
5	0	-1796	6.19169e-06	5.72839e-06	4.63869e-06
6	0	-1796	6.4147e-06	4.73151e-06	4.88245e-06
7	0	-1796	4.69599e-06	4.7082e-06	3.3826e-06
8	0	-1796	5.30647e-06	4.60952e-06	4.83224e-06
9	0	-1796	5.63495e-06	4.7596e-06	4.42408e-06
10	0	-1796	5.64738e-06	5.01198e-06	4.92077e-06
11	0	-1796	6.62821e-06	5.28797e-06	4.91909e-06
12	0	-1796	7.24228e-06	5.01207e-06	3.76705e-06
13	0	-1796	6.42498e-06	5.14199e-06	4.55325e-06
14	0	-1796	6.97299e-06	5.48092e-06	4.10637e-06
15	0	-1796	6.2171e-06	4.91195e-06	3.52669e-06
16	0	-1796	7.43841e-06	4.87808e-06	4.52089e-06
17	0	-1796	6.47307e-06	4.59143e-06	4.36778e-06
18	0	-1796	6.40332e-06	4.31611e-06	4.8099e-06
19	0	-1796	7.67764e-06	4.87293e-06	4.53763e-06
20	0	-1796	6.01804e-06	4.72058e-06	4.775e-06
-20	0	-1794	5.75896e-06	5.43523e-06	4.66518e-06
-19	0	-1794	7.24675e-06	5.17195e-06	5.02529e-06
-18	0	-1794	5.87396e-06	5.01237e-06	4.31364e-06
-17	0	-1794	5.91294e-06	5.08958e-06	3.82712e-06
-16	0	-1794	6.83825e-06	4.12357e-06	3.99298e-06
-15	0	-1794	5.52859e-06	4.83121e-06	5.09323e-06
-14	0	-1794	6.99782e-06	5.73996e-06	4.55538e-06
-13	0	-1794	7.19393e-06	5.02529e-06	5.04026e-06
-12	0	-1794	6.3098e-06	4.94847e-06	4.21199e-06
-11	0	-1794	4.45743e-06	5.15193e-06	3.80991e-06
-10	0	-1794	6.26579e-06	5.07098e-06	3.70794e-06
-9	0	-1794	5.76502e-06	5.4876e-06	4.31515e-06
-8	0	-1794	6.22111e-06	5.08912e-06	4.76751e-06
-7	0	-1794	6.98869e-06	4.9838e-06	4.83156e-06
