X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	1.71209e-06	6.7374e-06	-4.38729e-07
-19	0	-1800	2.12356e-06	5.28552e-06	7.42716e-07
-18	0	-1800	3.50025e-06	5.848e-06	1.36126e-06
-17	0	-1800	2.7449e-06	6.37409e-06	1.8629e-06
-16	0	-1800	2.15979e-06	5.7545e-06	1.51558e-06
-15	0	-1800	2.50362e-06	6.23963e-06	1.08826e-06
-14	0	-1800	3.25755e-06	6.03656e-06	2.33432e-06
-13	0	-1800	2.65512e-06	6.54466e-06	1.55483e-06
-12	0	-1800	3.12371e-06	7.33534e-06	1.08416e-06
-11	0	-1800	2.0368e-06	5.7643e-06	6.42103e-07
-10	0	-1800	3.00035e-06	5.73566e-06	6.64696e-07
-9	0	-1800	3.32867e-06	6.28164e-06	1.02975e-06
-8	0	-1800	1.53592e-06	6.06377e-06	1.44871e-06
-7	0	-1800	1.42842e-06	6.95366e-06	2.23401e-07
-6	0	-1800	1.59803e-06	5.13988e-06	1.30704e-06
-5	0	-1800	2.0408e-06	5.72965e-06	4.03433e-08
-4	0	-1800	1.61076e-07	6.06835e-06	-8.60203e-07
-3	0	-1800	2.84963e-06	5.99306e-06	5.43387e-07
-2	0	-1800	2.86972e-06	5.84625e-06	8.97334e-07
-1	0	-1800	2.22185e-06	5.68898e-06	7.89034e-07
0	0	-1800	7.96839e-07	6.08064e-06	-8.05609e-07
1	0	-1800	2.37367e-06	4.91678e-06	3.46293e-07
2	0	-1800	3.30923e-06	4.74271e-06	2.07885e-06
3	0	-1800	3.35797e-06	5.27384e-06	1.48538e-06
4	0	-1800	2.44039e-06	5.48469e-06	1.05488e-06
5	0	-1800	2.67258e-06	6.41531e-06	1.5967e-06
6	0	-1800	2.33476e-06	5.03979e-06	-3.5488e-07
7	0	-1800	1.61758e-06	5.49585e-06	4.29515e-07
8	0	-1800	3.32302e-06	4.99363e-06	1.41701e-06
9	0	-1800	3.40317e-06	4.84185e-06	1.79552e-06
10	0	-1800	3.84327e-06	6.04627e-06	1.6974e-06
11	0	-1800	2.74948e-06	5.21559e-06	1.62239e-06
12	0	-1800	4.17778e-06	4.96374e-06	2.5095e-06
13	0	-1800	4.12425e-06	5.56032e-06	1.26326e-06
14	0	-1800	3.35401e-06	6.33321e-06	1.19563e-06
15	0	-1800	3.43881e-06	4.47137e-06	1.5227e-06
16	0	-1800	3.24466e-06	5.10445e-06	1.23932e-06
17	0	-1800	2.9169e-06	4.95838e-06	1.2799e-06
18	0	-1800	1.83835e-06	6.42677e-06	1.22587e-06
19	0	-1800	3.98123e-07	5.18542e-06	-7.05005e-07
20	0	-1800	1.11851e-06	6.39808e-06	5.19579e-07
-20	0	-1798	1.85708e-06	6.81323e-06	-8.82117e-08
-19	0	-1798	3.00734e-06	5.69036e-06	3.42534e-07
-18	0	-1798	3.28944e-06	5.99428e-06	1.17855e-06
-17	0	-1798	2.39742e-06	6.25745e-06	1.64105e-06
-16	0	-1798	2.18364e-06	6.07629e-06	1.55036e-06
-15	0	-1798	2.28938e-06	6.29916e-06	1.22072e-06
-14	0	-1798	2.72962e-06	6.11731e-06	2.23407e-06
-13	0	-1798	2.37683e-06	6.52113e-06	9.23843e-07
-12	0	-1798	2.22577e-06	6.84848e-06	8.57485e-07
-11	0	-1798	2.21919e-06	5.68856e-06	1.19999e-06
-10	0	-1798	2.69118e-06	5.74282e-06	1.0042e-06
-9	0	-1798	2.91696e-06	6.24033e-06	8.55221e-07
-8	0	-1798	1.56408e-06	6.37514e-06	1.22033e-06
-7	0	-1798	1.73031e-06	5.96894e-06	4.42245e-07
-6	0	-1798	1.50962e-06	5.26787e-06	2.02868e-06
-5	0	-1798	1.59375e-06	5.41316e-06	2.98365e-07
-4	0	-1798	4.38104e-07	6.02236e-06	-8.96759e-07
-3	0	-1798	2.58958e-06	5.3676e-06	1.13717e-06
-2	0	-1798	3.01959e-06	5.60672e-06	6.61957e-07
-1	0	-1798	1.77108e-06	5.77705e-06	4.63178e-07
0	0	-1798	4.02517e-07	6.16932e-06	-4.1856e-07
1	0	-1798	1.76155e-06	4.99221e-06	3.33595e-07
2	0	-1798	3.35783e-06	5.77846e-06	1.71752e-06
3	0	-1798	2.61858e-06	5.63629e-06	8.29909e-07
4	0	-1798	2.62587e-06	5.60804e-06	1.03267e-06
