X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	5.88625e-06	5.59124e-06	1.61535e-06
-19	0	-1800	5.74032e-06	6.41801e-06	1.7857e-06
-18	0	-1800	5.63625e-06	6.06602e-06	2.63216e-06
-17	0	-1800	5.46846e-06	5.63898e-06	2.29839e-06
-16	0	-1800	5.40035e-06	5.85594e-06	2.03396e-06
-15	0	-1800	4.79311e-06	4.86562e-06	1.75375e-06
-14	0	-1800	4.24574e-06	6.05351e-06	2.50758e-06
-13	0	-1800	5.14392e-06	5.14075e-06	1.82264e-06
-12	0	-1800	5.23468e-06	5.40992e-06	2.08934e-06
-11	0	-1800	4.73947e-06	4.82383e-06	6.40842e-07
-10	0	-1800	4.8023e-06	5.18156e-06	1.96124e-06
-9	0	-1800	4.91733e-06	4.76008e-06	1.52096e-06
-8	0	-1800	5.21757e-06	6.26919e-06	1.45779e-06
-7	0	-1800	5.47657e-06	4.99483e-06	2.5703e-06
-6	0	-1800	5.109e-06	5.96027e-06	2.69764e-06
-5	0	-1800	5.30974e-06	5.41573e-06	1.56528e-06
-4	0	-1800	4.22612e-06	6.38159e-06	6.49983e-07
-3	0	-1800	5.99551e-06	5.27014e-06	1.87343e-06
-2	0	-1800	5.3416e-06	5.67856e-06	1.99734e-06
-1	0	-1800	3.99283e-06	5.91361e-06	1.86967e-06
0	0	-1800	5.11138e-06	5.94267e-06	1.82186e-06
1	0	-1800	6.12747e-06	5.92603e-06	2.55937e-06
2	0	-1800	4.81441e-06	5.68467e-06	2.06169e-06
3	0	-1800	4.57384e-06	5.97937e-06	1.9301e-06
4	0	-1800	4.85493e-06	6.25305e-06	2.31278e-06
5	0	-1800	4.45209e-06	5.90184e-06	2.93926e-06
6	0	-1800	5.11125e-06	5.25328e-06	2.73656e-06
7	0	-1800	5.29533e-06	6.41157e-06	2.86894e-06
8	0	-1800	5.15161e-06	6.49294e-06	3.13847e-06
9	0	-1800	5.48557e-06	6.56333e-06	2.71629e-06
10	0	-1800	5.09006e-06	5.3754e-06	2.1057e-06
11	0	-1800	5.57036e-06	5.99038e-06	2.97605e-06
12	0	-1800	5.76366e-06	6.27213e-06	3.18256e-06
13	0	-1800	4.55913e-06	4.80769e-06	1.98651e-06
14	0	-1800	5.11586e-06	5.37008e-06	2.35531e-06
15	0	-1800	6.32754e-06	5.18263e-06	2.43614e-06
16	0	-1800	6.21733e-06	5.53262e-06	2.01893e-06
17	0	-1800	6.91578e-06	4.97746e-06	3.01599e-06
18	0	-1800	6.08698e-06	5.92529e-06	3.08335e-06
19	0	-1800	4.06654e-06	5.48734e-06	2.41084e-06
20	0	-1800	4.22466e-06	6.55748e-06	1.88929e-06
-20	0	-1798	5.62142e-06	5.77977e-06	1.51602e-06
-19	0	-1798	6.44786e-06	6.23528e-06	1.74758e-06
-18	0	-1798	6.19438e-06	6.1482e-06	2.63962e-06
-17	0	-1798	5.77754e-06	6.18359e-06	2.15736e-06
-16	0	-1798	5.28533e-06	5.67348e-06	1.78137e-06
-15	0	-1798	4.53863e-06	4.95259e-06	1.20715e-06
-14	0	-1798	4.4848e-06	6.0311e-06	2.20924e-06
-13	0	-1798	5.01107e-06	4.88833e-06	1.28321e-06
-12	0	-1798	5.3016e-06	5.44569e-06	2.44614e-06
-11	0	-1798	4.6516e-06	4.85351e-06	1.14681e-06
-10	0	-1798	4.45533e-06	5.01789e-06	1.70908e-06
-9	0	-1798	4.69823e-06	5.21678e-06	1.24631e-06
-8	0	-1798	5.40084e-06	5.53693e-06	1.87541e-06
-7	0	-1798	5.52369e-06	5.05912e-06	2.33387e-06
-6	0	-1798	5.66845e-06	5.53969e-06	2.61979e-06
-5	0	-1798	4.66065e-06	5.55571e-06	1.08476e-06
-4	0	-1798	4.25731e-06	6.25789e-06	7.73469e-07
-3	0	-1798	5.75711e-06	4.88222e-06	2.11114e-06
-2	0	-1798	5.37221e-06	5.25181e-06	1.60434e-06
-1	0	-1798	4.45818e-06	5.40957e-06	2.47702e-06
0	0	-1798	5.07064e-06	6.11887e-06	2.13387e-06
1	0	-1798	6.01821e-06	6.22434e-06	2.42544e-06
2	0	-1798	5.45861e-06	5.40356e-06	2.45835e-06
3	0	-1798	4.40614e-06	6.04842e-06	1.94102e-06
4	0	-1798	4.69126e-06	6.58112e-06	1.92457e-06
5	0	-1798	4.38e-06	5.74982e-06	2.90811e-06
6	0	-1798	5.1601e-06	5.41614e-06	2.82741e-06
7	0	-1798	5.54075e-06	5.91327e-06	2.52925e-06
8	0	-1798	5.65107e-06	5.85513e-06	3.01155e-06
9	0	-1798	5.1685e-06	6.58785e-06	2.85282e-06
10	0	-1798	4.79194e-06	5.14612e-06	2.28736e-06
11	0	-1798	5.8296e-06	6.10192e-06	2.90633e-06
12	0	-1798	5.70359e-06	6.21301e-06	2.94941e-06
13	0	-1798	4.64014e-06	4.91226e-06	2.57088e-06
14	0	-1798	5.32629e-06	4.96454e-06	2.43885e-06
15	0	-1798	6.83225e-06	5.21772e-06	2.87702e-06
16	0	-1798	6.47487e-06	5.33418e-06	2.08636e-06
17	0	-1798	6.36409e-06	5.28748e-06	3.4619e-06
18	0	-1798	6.53679e-06	5.62128e-06	2.79204e-06
19	0	-1798	4.50427e-06	5.97298e-06	2.59503e-06
20	0	-1798	4.2374e-06	6.42233e-06	2.03041e-06
-20	0	-1796	5.30466e-06	5.49186e-06	1.64887e-06
-19	0	-1796	6.03928e-06	6.31174e-06	1.98161e-06
-18	0	-1796	5.6042e-06	6.32995e-06	2.41517e-06
-17	0	-1796	6.18546e-06	6.27772e-06	2.06397e-06
-16	0	-1796	5.76239e-06	5.77285e-06	2.37346e-06
-15	0	-1796	4.59689e-06	5.16432e-06	1.39066e-06
-14	0	-1796	4.88101e-06	5.87964e-06	2.33159e-06
-13	0	-1796	4.83934e-06	5.0177e-06	1.7687e-06
-12	0	-1796	5.52623e-06	4.78969e-06	2.69395e-06
-11	0	-1796	4.24838e-06	5.19902e-06	1.11614e-06
-10	0	-1796	4.3721e-06	5.12268e-06	1.78756e-06
-9	0	-1796	4.9289e-06	5.33341e-06	1.68309e-06
-8	0	-1796	5.26558e-06	5.76909e-06	2.30717e-06
-7	0	-1796	5.2413e-06	4.91264e-06	1.74807e-06
-6	0	-1796	5.82657e-06	4.97679e-06	3.04687e-06
-5	0	-1796	4.45832e-06	5.6856e-06	1.08683e-06
-4	0	-1796	4.04268e-06	6.23022e-06	9.33581e-07
-3	0	-1796	5.79437e-06	5.36411e-06	2.8197e-06
-2	0	-1796	5.14459e-06	4.74759e-06	1.63957e-06
-1	0	-1796	4.15099e-06	5.63306e-06	2.51345e-06
0	0	-1796	5.40759e-06	6.27778e-06	2.23711e-06
1	0	-1796	6.19322e-06	6.28902e-06	2.64144e-06
2	0	-1796	5.3055e-06	5.41039e-06	1.77876e-06
3	0	-1796	4.30983e-06	6.48806e-06	2.24601e-06
4	0	-1796	4.66237e-06	6.45329e-06	1.71602e-06
5	0	-1796	4.84883e-06	5.51018e-06	2.83424e-06
6	0	-1796	5.11087e-06	5.65599e-06	2.88799e-06
7	0	-1796	5.61628e-06	5.84992e-06	1.98715e-06
8	0	-1796	5.30892e-06	5.63959e-06	3.13285e-06
9	0	-1796	5.27872e-06	6.406e-06	3.23793e-06
10	0	-1796	5.01467e-06	5.17596e-06	2.1222e-06
11	0	-1796	5.54803e-06	5.71945e-06	2.68732e-06
12	0	-1796	5.72755e-06	5.87912e-06	2.85021e-06
13	0	-1796	4.17679e-06	5.26425e-06	2.81284e-06
14	0	-1796	5.73398e-06	5.75103e-06	2.88403e-06
15	0	-1796	6.33928e-06	5.31716e-06	2.93187e-06
16	0	-1796	6.3449e-06	5.57482e-06	2.84745e-06
17	0	-1796	6.68912e-06	5.66936e-06	3.35853e-06
18	0	-1796	6.33397e-06	5.41699e-06	3.06518e-06
19	0	-1796	4.37509e-06	6.08334e-06	3.14424e-06
20	0	-1796	4.32118e-06	6.47664e-06	2.15647e-06
-20	0	-1794	5.53717e-06	5.36296e-06	1.46788e-06
-19	0	-1794	6.26219e-06	6.22616e-06	1.87958e-06
-18	0	-1794	5.49137e-06	6.51164e-06	2.57304e-06
-17	0	-1794	5.65131e-06	6.15908e-06	2.08024e-06
-16	0	-1794	5.91051e-06	6.19589e-06	2.31914e-06
-15	0	-1794	4.80678e-06	5.32799e-06	1.5044e-06
-14	0	-1794	4.80316e-06	5.79699e-06	2.35045e-06
-13	0	-1794	4.76138e-06	5.08722e-06	1.67158e-06
-12	0	-1794	5.57998e-06	4.80168e-06	2.38216e-06
-11	0	-1794	4.14006e-06	5.47317e-06	8.27899e-07
-10	0	-1794	4.63894e-06	5.60313e-06	1.66777e-06
-9	0	-1794	4.85551e-06	5.38669e-06	1.74362e-06
-8	0	-1794	4.62145e-06	5.83784e-06	1.91063e-06
