X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	-1.08435e-05	7.30712e-06	-7.95184e-06
-19	0	-1800	-9.23703e-06	8.47354e-06	-3.94342e-06
-18	0	-1800	-1.12015e-05	7.74593e-06	-5.66609e-06
-17	0	-1800	-1.17795e-05	6.51089e-06	-6.24241e-06
-16	0	-1800	-1.1821e-05	7.50064e-06	-5.46809e-06
-15	0	-1800	-8.77537e-06	6.97424e-06	-4.7723e-06
-14	0	-1800	-1.15901e-05	7.42395e-06	-6.06479e-06
-13	0	-1800	-1.01436e-05	7.52963e-06	-5.1957e-06
-12	0	-1800	-1.25138e-05	7.85051e-06	-6.15358e-06
-11	0	-1800	-1.02354e-05	7.73972e-06	-5.42373e-06
-10	0	-1800	-9.02571e-06	7.80393e-06	-5.45217e-06
-9	0	-1800	-1.09482e-05	6.83845e-06	-6.00014e-06
-8	0	-1800	-1.15083e-05	7.10134e-06	-6.90204e-06
-7	0	-1800	-1.06739e-05	6.91586e-06	-5.20204e-06
-6	0	-1800	-1.06839e-05	8.20178e-06	-6.71412e-06
-5	0	-1800	-9.53825e-06	7.88598e-06	-4.8682e-06
-4	0	-1800	-8.64419e-06	7.15083e-06	-4.86108e-06
-3	0	-1800	-9.52234e-06	7.25562e-06	-5.77046e-06
-2	0	-1800	-8.83967e-06	7.48972e-06	-4.03473e-06
-1	0	-1800	-8.61583e-06	7.72898e-06	-4.56688e-06
0	0	-1800	-1.05504e-05	7.06684e-06	-6.57523e-06
1	0	-1800	-9.5107e-06	7.71177e-06	-5.12613e-06
2	0	-1800	-9.73942e-06	8.19677e-06	-5.43576e-06
3	0	-1800	-1.00575e-05	7.44761e-06	-5.89169e-06
4	0	-1800	-9.00948e-06	6.36599e-06	-5.20843e-06
5	0	-1800	-1.08623e-05	7.70527e-06	-6.56065e-06
6	0	-1800	-1.08107e-05	7.42296e-06	-6.07615e-06
7	0	-1800	-1.14644e-05	7.03169e-06	-6.56267e-06
8	0	-1800	-1.08868e-05	7.52879e-06	-5.21207e-06
9	0	-1800	-1.19055e-05	7.70425e-06	-6.53548e-06
10	0	-1800	-1.25751e-05	8.24201e-06	-6.28524e-06
11	0	-1800	-1.0746e-05	7.05428e-06	-6.41414e-06
12	0	-1800	-9.91883e-06	6.56927e-06	-6.61689e-06
13	0	-1800	-8.12448e-06	7.42966e-06	-4.93403e-06
14	0	-1800	-1.09975e-05	8.16142e-06	-5.81698e-06
15	0	-1800	-1.12093e-05	7.25966e-06	-6.8465e-06
16	0	-1800	-1.06301e-05	6.84362e-06	-5.8342e-06
17	0	-1800	-1.2513e-05	6.46927e-06	-7.96222e-06
