X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	3.89551e-06	5.94726e-06	1.48393e-06
-19	0	-1800	4.21879e-06	5.41066e-06	2.68985e-06
-18	0	-1800	3.25093e-06	5.81992e-06	3.58877e-06
-17	0	-1800	4.4761e-06	5.75718e-06	3.20527e-06
-16	0	-1800	2.32306e-06	5.92513e-06	2.27415e-06
-15	0	-1800	5.03944e-06	5.52232e-06	2.8932e-06
-14	0	-1800	4.06461e-06	5.64387e-06	1.91915e-06
-13	0	-1800	5.07563e-06	5.52127e-06	2.88211e-06
-12	0	-1800	3.97979e-06	4.69539e-06	2.46631e-06
-11	0	-1800	4.37178e-06	5.31679e-06	2.05745e-06
-10	0	-1800	3.6418e-06	5.35711e-06	2.37982e-06
-9	0	-1800	4.58468e-06	5.67981e-06	1.33649e-06
-8	0	-1800	3.47673e-06	4.77736e-06	2.20643e-06
-7	0	-1800	3.94749e-06	4.29189e-06	3.28268e-06
-6	0	-1800	3.99726e-06	5.67375e-06	2.80545e-06
-5	0	-1800	3.36259e-06	4.65624e-06	3.75044e-06
-4	0	-1800	4.6037e-06	4.69058e-06	2.88289e-06
-3	0	-1800	4.65937e-06	5.28725e-06	3.85431e-06
-2	0	-1800	3.96177e-06	5.48128e-06	3.22008e-06
-1	0	-1800	3.9928e-06	4.01123e-06	2.65539e-06
0	0	-1800	4.20249e-06	5.35738e-06	3.065e-06
1	0	-1800	5.40707e-06	5.01202e-06	2.93966e-06
2	0	-1800	4.21812e-06	3.82978e-06	2.92503e-06
3	0	-1800	4.63424e-06	5.13566e-06	3.20364e-06
4	0	-1800	5.71591e-06	5.6518e-06	4.29365e-06
5	0	-1800	4.36235e-06	4.92377e-06	3.88544e-06
6	0	-1800	4.66858e-06	4.91242e-06	2.42687e-06
7	0	-1800	5.67946e-06	5.38685e-06	4.02199e-06
8	0	-1800	6.15861e-06	5.2005e-06	3.99594e-06
9	0	-1800	4.3983e-06	5.13589e-06	4.00163e-06
10	0	-1800	5.46539e-06	5.4154e-06	2.76751e-06
11	0	-1800	4.22392e-06	4.54953e-06	3.61796e-06
12	0	-1800	4.63094e-06	4.61358e-06	3.31549e-06
13	0	-1800	4.6487e-06	6.34135e-06	3.14131e-06
14	0	-1800	5.23366e-06	5.82745e-06	4.03376e-06
15	0	-1800	5.10041e-06	4.91948e-06	2.71362e-06
16	0	-1800	5.06768e-06	5.23514e-06	3.93653e-06
17	0	-1800	5.64717e-06	4.15203e-06	2.98271e-06
18	0	-1800	5.6823e-06	4.28707e-06	4.11481e-06
19	0	-1800	3.88442e-06	6.56303e-06	2.43598e-06
20	0	-1800	4.22011e-06	4.80661e-06	2.70725e-06
-20	0	-1798	4.24133e-06	5.99003e-06	2.45414e-06
-19	0	-1798	4.23829e-06	5.59251e-06	3.0621e-06
-18	0	-1798	4.41699e-06	6.23666e-06	3.09874e-06
-17	0	-1798	4.31954e-06	5.70911e-06	2.66298e-06
-16	0	-1798	2.54424e-06	5.6316e-06	2.13859e-06
-15	0	-1798	4.6088e-06	5.02874e-06	2.91182e-06
-14	0	-1798	3.34628e-06	5.23982e-06	2.09805e-06
-13	0	-1798	4.80232e-06	4.98859e-06	3.16044e-06
-12	0	-1798	3.41096e-06	4.56138e-06	2.75584e-06
-11	0	-1798	3.29305e-06	5.08146e-06	2.01333e-06
-10	0	-1798	2.98288e-06	4.90599e-06	2.14178e-06
-9	0	-1798	3.86033e-06	5.88441e-06	2.01868e-06
-8	0	-1798	3.76374e-06	4.97669e-06	2.4043e-06
-7	0	-1798	3.78815e-06	4.92446e-06	2.51593e-06
-6	0	-1798	3.75467e-06	5.19993e-06	3.56319e-06
-5	0	-1798	3.69824e-06	4.84802e-06	4.01445e-06
-4	0	-1798	3.74032e-06	4.80154e-06	2.90804e-06
-3	0	-1798	4.48652e-06	5.06481e-06	3.64292e-06
-2	0	-1798	4.23173e-06	5.49889e-06	3.00663e-06
-1	0	-1798	3.82745e-06	4.66201e-06	3.35953e-06
0	0	-1798	3.70702e-06	4.6948e-06	3.13914e-06
1	0	-1798	5.61099e-06	5.14174e-06	3.22668e-06
2	0	-1798	4.71433e-06	4.90216e-06	3.19526e-06
3	0	-1798	5.06759e-06	4.62564e-06	3.21561e-06
4	0	-1798	5.46701e-06	5.67958e-06	3.85296e-06
5	0	-1798	4.39819e-06	5.01212e-06	3.92278e-06
6	0	-1798	4.5731e-06	4.71904e-06	2.47922e-06
7	0	-1798	5.96737e-06	5.24756e-06	3.84722e-06
