X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	-1.06298e-05	7.69331e-06	-5.51272e-06
-19	0	-1800	-9.70362e-06	8.10862e-06	-5.73414e-06
-18	0	-1800	-8.57774e-06	7.30118e-06	-4.7624e-06
-17	0	-1800	-1.15029e-05	8.00349e-06	-6.08053e-06
-16	0	-1800	-1.05743e-05	8.39004e-06	-5.75962e-06
-15	0	-1800	-1.03485e-05	8.0977e-06	-6.71517e-06
-14	0	-1800	-1.24938e-05	7.87401e-06	-6.90267e-06
-13	0	-1800	-1.08233e-05	7.6115e-06	-7.2627e-06
-12	0	-1800	-9.63993e-06	7.27225e-06	-5.38204e-06
-11	0	-1800	-1.05511e-05	6.71543e-06	-6.10918e-06
-10	0	-1800	-1.05499e-05	5.9956e-06	-6.23764e-06
-9	0	-1800	-9.5507e-06	7.20264e-06	-5.13327e-06
-8	0	-1800	-1.07266e-05	7.55238e-06	-5.36045e-06
-7	0	-1800	-1.24061e-05	7.63946e-06	-7.71515e-06
-6	0	-1800	-9.63448e-06	7.76978e-06	-5.16106e-06
-5	0	-1800	-9.58905e-06	7.37165e-06	-6.11773e-06
-4	0	-1800	-9.31231e-06	7.31884e-06	-5.55242e-06
-3	0	-1800	-1.11148e-05	8.36752e-06	-6.38426e-06
-2	0	-1800	-1.10744e-05	8.55346e-06	-5.40101e-06
-1	0	-1800	-1.04228e-05	8.53019e-06	-6.76376e-06
0	0	-1800	-1.18894e-05	7.90334e-06	-7.13437e-06
1	0	-1800	-9.50394e-06	7.67074e-06	-5.50686e-06
2	0	-1800	-1.18599e-05	8.00169e-06	-7.21671e-06
3	0	-1800	-1.11607e-05	7.63384e-06	-6.11999e-06
4	0	-1800	-1.11356e-05	8.37813e-06	-7.18892e-06
5	0	-1800	-1.04071e-05	6.68048e-06	-5.86577e-06
6	0	-1800	-1.14899e-05	7.42304e-06	-7.70626e-06
7	0	-1800	-9.26031e-06	7.09668e-06	-4.45049e-06
8	0	-1800	-8.739e-06	7.19497e-06	-5.98386e-06
9	0	-1800	-8.47177e-06	8.10262e-06	-6.23479e-06
10	0	-1800	-7.56284e-06	6.86877e-06	-4.16179e-06
11	0	-1800	-8.70531e-06	7.90956e-06	-4.78437e-06
12	0	-1800	-8.40385e-06	7.83439e-06	-4.27504e-06
13	0	-1800	-7.59696e-06	7.32469e-06	-5.13733e-06
14	0	-1800	-9.27391e-06	7.45919e-06	-5.11216e-06
15	0	-1800	-8.40274e-06	7.09745e-06	-4.70502e-06
16	0	-1800	-8.28184e-06	7.61255e-06	-3.90195e-06
17	0	-1800	-8.43231e-06	6.39424e-06	-3.49698e-06
