X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-20	0	-1800	7.07501e-06	5.10742e-06	5.44623e-06
-19	0	-1800	6.24482e-06	5.19964e-06	4.5129e-06
-18	0	-1800	6.49313e-06	4.84832e-06	4.88952e-06
-17	0	-1800	8.11434e-06	4.90224e-06	6.365e-06
-16	0	-1800	7.22844e-06	3.5207e-06	5.36046e-06
-15	0	-1800	7.15514e-06	4.05959e-06	3.73656e-06
-14	0	-1800	6.40183e-06	4.36348e-06	4.22234e-06
-13	0	-1800	6.19015e-06	4.73161e-06	5.47617e-06
-12	0	-1800	7.66734e-06	4.50502e-06	5.05059e-06
-11	0	-1800	7.11502e-06	3.95393e-06	5.63945e-06
-10	0	-1800	6.19173e-06	4.95989e-06	4.58114e-06
-9	0	-1800	8.23262e-06	4.94254e-06	5.79575e-06
-8	0	-1800	7.58446e-06	4.93136e-06	5.51591e-06
-7	0	-1800	7.26018e-06	4.51627e-06	5.07487e-06
-6	0	-1800	7.4652e-06	4.39801e-06	6.5783e-06
-5	0	-1800	7.15358e-06	5.43494e-06	5.97894e-06
-4	0	-1800	7.03893e-06	4.41656e-06	5.18121e-06
-3	0	-1800	9.07531e-06	4.87998e-06	5.12222e-06
-2	0	-1800	6.89316e-06	4.34608e-06	5.87739e-06
-1	0	-1800	8.1258e-06	4.60383e-06	6.03971e-06
0	0	-1800	7.56089e-06	4.55736e-06	5.46196e-06
1	0	-1800	7.11369e-06	4.14064e-06	5.25482e-06
2	0	-1800	6.59351e-06	4.73756e-06	4.79889e-06
3	0	-1800	6.79253e-06	5.18306e-06	3.6439e-06
4	0	-1800	5.27544e-06	4.38072e-06	4.2419e-06
5	0	-1800	6.17511e-06	3.85966e-06	4.01318e-06
6	0	-1800	7.40253e-06	4.93051e-06	4.9681e-06
7	0	-1800	6.33593e-06	4.03523e-06	5.63522e-06
8	0	-1800	5.51106e-06	4.86622e-06	4.9254e-06
9	0	-1800	6.86001e-06	4.82064e-06	3.53225e-06
10	0	-1800	7.58149e-06	3.39193e-06	5.09606e-06
11	0	-1800	7.1923e-06	3.99491e-06	5.65089e-06
12	0	-1800	7.91743e-06	4.50332e-06	4.67633e-06
13	0	-1800	7.32999e-06	2.79428e-06	4.8265e-06
14	0	-1800	7.21135e-06	3.87172e-06	4.42411e-06
15	0	-1800	7.27601e-06	3.9242e-06	5.35381e-06
16	0	-1800	6.49325e-06	3.52552e-06	4.03879e-06
17	0	-1800	5.7943e-06	3.88242e-06	3.35268e-06
18	0	-1800	7.06764e-06	4.1467e-06	4.32666e-06
19	0	-1800	6.13475e-06	3.66614e-06	4.433e-06
20	0	-1800	6.54755e-06	4.26379e-06	5.0356e-06
-20	0	-1798	6.61781e-06	5.32978e-06	5.13275e-06
-19	0	-1798	6.17272e-06	5.00711e-06	4.39234e-06
-18	0	-1798	6.38406e-06	5.10151e-06	4.97077e-06
-17	0	-1798	7.95769e-06	4.54455e-06	5.80736e-06
-16	0	-1798	7.64883e-06	3.84881e-06	5.6023e-06
-15	0	-1798	7.14484e-06	3.82492e-06	3.83492e-06
-14	0	-1798	6.21793e-06	4.7019e-06	5.10879e-06
-13	0	-1798	6.85042e-06	4.73241e-06	5.63663e-06
-12	0	-1798	7.45239e-06	4.69816e-06	5.26267e-06
-11	0	-1798	7.4299e-06	4.51621e-06	5.2132e-06
-10	0	-1798	6.30224e-06	4.29837e-06	4.77456e-06
-9	0	-1798	7.60875e-06	4.96032e-06	5.71248e-06
-8	0	-1798	7.34292e-06	5.00144e-06	5.07505e-06
-7	0	-1798	7.47371e-06	5.17825e-06	4.83906e-06
-6	0	-1798	7.65536e-06	3.8476e-06	6.16733e-06
-5	0	-1798	7.12347e-06	5.38255e-06	5.66918e-06
-4	0	-1798	7.2723e-06	4.43323e-06	4.90794e-06
-3	0	-1798	8.37011e-06	4.58678e-06	5.58879e-06
-2	0	-1798	6.78434e-06	4.27514e-06	5.82773e-06
-1	0	-1798	7.6453e-06	4.50453e-06	5.66439e-06
0	0	-1798	7.34345e-06	4.798e-06	5.07199e-06
1	0	-1798	6.62241e-06	4.14651e-06	5.60597e-06
2	0	-1798	7.21771e-06	4.55687e-06	4.83215e-06
3	0	-1798	7.37425e-06	4.69743e-06	4.81116e-06
4	0	-1798	5.04181e-06	4.53315e-06	4.60654e-06
5	0	-1798	6.50957e-06	4.21721e-06	4.0535e-06
6	0	-1798	6.59367e-06	5.07756e-06	5.0893e-06
7	0	-1798	6.72413e-06	3.53081e-06	5.00226e-06
8	0	-1798	5.85235e-06	4.63289e-06	4.86871e-06
9	0	-1798	6.88266e-06	5.03646e-06	3.55317e-06
10	0	-1798	7.776e-06	3.87219e-06	4.48378e-06
11	0	-1798	7.64601e-06	4.1005e-06	5.13383e-06
